Customer,Date Shipped,Product ID,Brand,Channel
9829278,1/9/18,548,White Whale,Direct
9829881,1/9/18,494,Black Dog,Direct
9829935,1/9/18,677,White Whale,Direct
9830844,1/9/18,581,White Whale,Direct
9831618,1/9/18,548,White Whale,Direct
9831942,1/9/18,494,Black Dog,Direct
9832500,1/9/18,677,White Whale,Direct
9832581,1/9/18,677,White Whale,Partner
9832878,1/9/18,494,Black Dog,Direct
9833463,1/9/18,677,White Whale,Direct
9833526,1/9/18,548,White Whale,Direct
9833535,1/9/18,677,White Whale,Direct
9833553,1/9/18,677,White Whale,Direct
9833760,1/9/18,494,Black Dog,Direct
9834696,1/9/18,677,White Whale,Direct
9835425,1/9/18,494,Black Dog,Direct
9835560,1/9/18,494,Black Dog,Direct
9837162,1/9/18,677,White Whale,Direct
9837225,1/9/18,677,White Whale,Direct
9837441,1/9/18,677,White Whale,Direct
9837936,1/9/18,494,Black Dog,Direct
9838071,1/9/18,677,White Whale,Direct
9839034,1/9/18,494,Black Dog,Direct
9839052,1/9/18,677,White Whale,Direct
9839061,1/9/18,677,White Whale,Partner
9839169,1/9/18,677,White Whale,Direct
9839187,1/9/18,494,Black Dog,Direct
9840609,1/9/18,494,Black Dog,Direct
9840726,1/9/18,677,White Whale,Direct
9835560,1/18/18,494,Black Dog,Direct
9824508,2/2/18,239,Black Dog,Direct
9823797,2/3/18,239,Black Dog,Direct
9829008,2/3/18,239,Black Dog,Direct
9823563,2/8/18,239,Black Dog,Direct
9823716,2/8/18,1313,White Whale,Direct
9829278,2/8/18,581,White Whale,Direct
9833526,2/8/18,581,White Whale,Direct
9834696,2/8/18,1313,White Whale,Direct
9822807,2/9/18,1313,White Whale,Direct
9822987,2/9/18,1313,White Whale,Direct
9830844,2/9/18,1313,White Whale,Direct
9833463,2/9/18,1313,White Whale,Direct
9838071,2/9/18,1313,White Whale,Direct
9840609,2/9/18,239,Black Dog,Direct
9840726,2/10/18,581,White Whale,Direct
9829881,2/14/18,239,Black Dog,Direct
9837936,2/14/18,239,Black Dog,Direct
9823743,2/15/18,1313,White Whale,Partner
9831942,2/15/18,239,Black Dog,Direct
9833760,2/15/18,239,Black Dog,Direct
9824436,2/16/18,1313,White Whale,Direct
9826299,2/16/18,1313,White Whale,Direct
9829125,2/16/18,1313,White Whale,Direct
